Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB
MacKenzie Gore,WSN,136.1,95.1,,,,86.6,88.5,83.3,,,
Bryce Miller,SEA,131.1,95.1,86.6,,95.1,85,81.2,78.3,,,
Yusei Kikuchi,TOR,167.2,95.1,89.9,,92.6,88.7,87.2,82.4,,,
Alex Cobb,SFG,151.1,95.1,,89.4,94.4,,86.1,83.5,,,
Taylor Clarke,KCR,59,95,,,,89.3,87.1,,,,
Charlie Morton,ATL,163.1,95,,,94.4,86.1,89.2,82.4,,,
Tanner Bibee,CLE,142,95,,,,83.9,84.8,78.4,,,
Chase Silseth,LAA,52.1,95,90.8,86.9,94.2,,82.2,79.1,,,
Brent Honeywell,2 Tms,52.1,95,90.7,,,87.5,81.7,,,,80.4
Pablo López,MIN,194,94.9,,,94.4,88.4,84.4,82.4,,,
Andre Jackson,2 Tms,61.1,94.8,87.1,,,86.9,,81.3,,,
Yu Darvish,SDP,136.1,94.8,90.9,89.2,94.4,88.8,84.2,76.4,,,
Michael King,NYY,104.2,94.8,,,94.1,87.3,81.9,,,,
Reese Olson,DET,103.2,94.8,,,94.8,87.8,84.8,78.9,,,
Jacob Webb,2 Tms,53.2,94.8,,,,85.8,83.9,,,,
Michael Grove,LAD,69,94.8,89.3,,93.7,87.8,85.6,,78.3,,
Brock Burke,TEX,59.2,94.8,87.3,,92.9,88.1,87.2,,,,
Jason Adam,TBR,54.1,94.8,,,,89.8,79.4,,,,
Aaron Bummer,CHW,58.1,94.7,87.5,,94.6,88,82.7,,,,
Mason Thompson,WSN,54,94.7,,,94.8,86.4,84.8,80.6,,,
Nick Pivetta,BOS,142.2,94.7,,85.1,,,86.7,79.5,,,
Jose E. Hernandez,PIT,50.2,94.7,,,,88.8,82.9,,,,
Alexis Díaz,CIN,67.1,94.7,,,,,87.6,,,,
Ryan Pressly,HOU,65.1,94.7,,,93.8,89.9,89.8,82.1,,,
Tristan Beck,SFG,85,94.6,,,,86.3,85.5,79.2,,,
Kevin Gausman,TOR,185,94.6,,86.3,,,83.5,,,,
Osvaldo Bido,PIT,50.2,94.6,,,94.5,89,84.4,,,,
Dean Kremer,BAL,172.2,94.6,88.7,,91.9,85.3,83,78.1,,,
Mike Clevinger,CHW,131.1,94.6,85.3,,93.2,86.3,79.7,76.4,,,
Steven Wilson,SDP,53,94.6,88.4,,,85,81.2,,,,
Shawn Armstrong,TBR,52,94.6,91.4,,94.8,,85.3,,,,
Griffin Canning,LAA,127,94.6,,,,90.1,88.2,81.7,,,
Andrew Nardi,MIA,57.1,94.6,,,,90.2,82.7,,,,
George Soriano,MIA,52,94.5,,,,88.9,83.2,,,,
Hayden Wesneski,CHC,89.1,94.5,88.9,,93,84.8,82.1,,,,
Jake Irvin,WSN,121,94.5,,,93.8,87.8,,80.9,,,
Ronel Blanco,HOU,52,94.5,,,,85.5,88,80.1,,,
Michael Lorenzen,2 Tms,153,94.5,88.6,,93.9,84.6,84.8,82.7,,,
Joan Adon,WSN,51.2,94.5,,,94.1,88,87.1,80.7,,,
Justin Verlander,2 Tms,162.1,94.4,,,,85.3,87,78.4,,,
Freddy Peralta,MIL,165.2,94.4,,,94.2,88.6,82.3,76.9,,,
Fernando Cruz,CIN,66,94.4,,81.5,93.1,,87.5,,,,
Roansy Contreras,PIT,68.1,94.4,,,,89.4,83.6,76.9,,,
Ryne Nelson,ARI,144,94.4,,,,83.3,83.7,76.5,,,
Alec Marsh,KCR,74.1,94.4,,,94.3,87.1,86.2,81.2,,,
Reid Detmers,LAA,148.2,94.3,,,93.6,84.8,88.7,74.6,,,
Matthew Liberatore,STL,61.2,94.3,,,94.4,87.4,86.8,76.7,,,
Michael Fulmer,CHC,57,94.3,,,95,90,86.1,79.9,,,
Lucas Sims,CIN,61,94.3,,,,,83.9,78.3,,,
José Berríos,TOR,189.2,94.3,,,93.8,84.1,82.6,,,,
Devin Williams,MIL,58.2,94.2,90.5,,,83.8,,,,,
Sam Moll,2 Tms,62.1,94.2,,,93.5,86.4,82,,,,
Max Fried,ATL,77.2,94.2,,,93.5,86.3,84.9,74.3,,,
Zack Littell,2 Tms,90,94.1,,84.3,92.9,,87.2,,,,
Cal Quantrill,CLE,99.2,94.1,88.3,87.1,93.8,86,,82.2,,,
Pedro Avila,SDP,50.1,94.1,,83.9,93.4,85.7,81.2,77.4,,,
Luke Weaver,3 Tms,123.2,94.1,90.2,,93.7,86.2,85.7,81.6,,,
Tanner Houck,BOS,106,94.1,91.7,87.8,93.6,,84.1,,,,
Chris Sale,BOS,102.2,94.1,,,93.7,86.2,78,,,,
Matt Moore,3 Tms,52.2,94,,,,84.2,,84.3,,,
Buck Farmer,CIN,75,94,,,,88.1,83.2,,,,
Jakob Junis,SFG,86,94,,,93.6,87.1,84.2,,,,
Bryan Hoeing,MIA,70.2,94,,,94.1,85.7,83.3,,,,
Phil Bickford,2 Tms,67.1,93.9,,87.6,,,84,,,,
Max Scherzer,2 Tms,152.2,93.9,88.5,,92.4,83.9,84.1,75.4,,,
Giovanny Gallegos,STL,55,93.9,,,,87.6,85.1,,,,
Zack Thompson,STL,66.1,93.9,,,,86,86,75.7,62.9,,
Jameson Taillon,CHC,154.1,93.8,88.7,,94,86.6,81,80.6,,,
Steven Okert,MIA,58.2,93.8,,,,,81.9,,,,
Kutter Crawford,BOS,129.1,93.8,88.7,82.6,,,82.7,79.6,,,
Kyle Muller,OAK,77,93.8,,,93.9,88.1,87.4,81.4,,,
Kirby Yates,ATL,60.1,93.7,,86.2,,,77.8,76.5,,,
Erik Swanson,TOR,66.2,93.7,88.1,85.1,,,86.4,,,,
Touki Toussaint,2 Tms,87,93.7,,87.7,93,,86.8,76.3,,,
Bryse Wilson,MIL,76.2,93.7,89.2,86.8,93.2,87.7,,79.5,,,
Seth Lugo,SDP,146.1,93.7,87.5,,93.5,86.4,81.6,79.9,,,
Josiah Gray,WSN,159,93.6,89.5,,93.2,88.6,85.6,82.3,,,
Brandon Pfaadt,ARI,96,93.6,,,93.1,86.6,83.8,78.8,,,
Matt Strahm,PHI,87.2,93.6,87.8,,93.4,86.5,83.3,,,,
Trevor Gott,2 Tms,58,93.6,,,94,87.3,89.4,80.9,,,
Drew VerHagen,STL,61,93.6,90,88.7,92.8,,82.4,,,,
